emp_id,Satisfaction_With_Work,Daily_Motivation,Role_Alignment,Recognition,Growth_Opportunities,Feedback_Quality,Career_Goals_Alignment,Coworker_Respect,Collaborative_Environment,Sense_of_Belonging,Manager_Support,Leadership_Trust,Transparent_Communication,Work_Life_Balance,Wellbeing,Workload_Fairness,12_Month_Commitment,Job_Search_Thoughts,Retention_If_Offered_Elsewhere,Overall_Satisfaction,Final_Verdict
2025_1,4,5,3,5,5,2,3,3,3,5,4,3,5,2,4,2,4,5,1,4,4
2025_2,2,5,4,1,1,3,3,2,4,4,3,4,4,1,3,5,3,5,1,2,3
2025_3,4,1,4,2,2,1,2,5,2,4,4,4,4,5,3,1,4,2,4,2,3
2025_4,2,4,5,2,2,4,2,2,4,4,1,5,5,2,5,2,1,4,4,4,3
2025_5,5,1,5,5,1,1,1,1,4,3,3,1,3,3,1,3,5,2,2,1,3
2025_6,4,1,4,2,1,5,3,4,3,3,1,3,5,3,1,5,2,3,1,2,3
2025_7,2,4,5,3,1,4,5,4,5,5,3,5,4,5,3,3,4,2,2,5,4
2025_8,1,5,4,4,4,4,4,3,2,4,1,1,1,1,3,1,4,5,1,3,3
2025_9,3,1,5,1,3,2,4,3,1,4,1,1,2,4,4,2,3,1,5,1,3
2025_10,1,3,1,2,2,4,5,1,1,3,2,5,4,2,4,3,3,1,5,4,3
2025_11,2,3,1,1,4,3,5,3,4,4,3,4,3,2,3,3,4,4,1,1,3
2025_12,2,1,3,4,1,1,2,2,3,4,2,1,4,4,1,2,1,4,5,5,3
2025_13,3,1,1,3,3,3,4,1,4,3,1,4,4,3,1,3,1,5,2,2,3
2025_14,2,3,5,1,4,1,4,1,5,4,3,1,1,4,3,3,5,3,3,3,3
2025_15,2,5,1,4,1,5,4,5,3,4,3,1,1,4,4,5,5,3,4,1,3
2025_16,5,5,1,5,3,4,1,4,5,5,1,3,2,1,2,2,3,2,2,3,3
2025_17,2,2,2,1,1,1,3,5,2,2,3,2,1,5,4,2,1,4,5,4,3
2025_18,1,4,3,4,2,2,3,1,2,5,2,2,1,4,2,3,4,5,1,5,3
2025_19,4,4,4,5,4,5,4,3,4,5,2,4,2,3,1,3,4,2,2,5,4
2025_20,2,5,1,4,5,1,2,2,1,2,1,5,5,1,5,5,5,3,4,2,3
2025_21,3,5,1,5,4,5,1,4,5,4,2,2,5,4,1,5,2,2,5,4,3
2025_22,2,4,2,2,3,2,1,5,5,4,2,1,4,3,4,4,2,3,4,1,3
2025_23,1,5,3,3,5,4,3,1,1,2,3,4,5,5,4,2,5,3,2,3,3
2025_24,1,2,5,2,2,2,2,3,1,4,2,5,2,5,3,5,4,1,5,5,3
2025_25,1,4,2,5,1,3,1,3,4,2,1,5,4,1,5,1,3,1,1,1,2
2025_26,4,1,5,3,3,1,4,4,5,1,3,4,1,4,4,3,2,5,5,3,3
2025_27,4,1,4,3,5,4,5,1,5,5,2,2,2,5,3,5,3,3,2,4,3
2025_28,1,2,2,4,1,5,5,2,1,2,3,2,2,5,5,5,3,5,1,4,3
2025_29,1,1,5,4,4,4,3,5,4,3,2,2,3,3,5,5,2,4,2,4,3
2025_30,4,5,1,1,3,5,4,1,4,1,1,1,5,2,4,5,5,5,5,5,3
2025_31,3,4,5,4,3,3,4,1,2,1,1,1,5,3,1,3,4,2,4,4,3
2025_32,5,2,4,4,2,2,4,2,4,4,5,1,4,3,1,1,1,5,4,5,3
2025_33,4,5,5,3,5,2,3,5,1,2,2,2,3,5,5,1,1,2,1,3,3
2025_34,5,2,1,3,3,1,5,1,2,1,3,1,5,4,1,5,5,3,5,5,3
2025_35,5,5,2,2,3,1,5,1,1,3,5,5,4,1,1,2,4,2,2,2,3
2025_36,3,3,2,4,1,4,5,3,1,1,5,5,2,3,3,4,2,2,2,2,3
2025_37,3,3,2,4,1,1,4,2,3,1,5,5,4,2,1,2,1,4,4,5,3
2025_38,2,5,2,5,3,3,3,3,1,3,4,4,1,3,3,3,5,2,5,2,3
2025_39,3,3,5,5,2,4,2,5,5,1,5,1,4,2,2,1,2,5,3,1,3
2025_40,2,1,1,3,5,1,2,4,1,1,3,5,4,2,4,2,5,2,3,3,3
2025_41,3,3,4,5,2,2,3,3,1,5,4,2,1,1,2,4,1,1,5,4,3
